ID,Title,Author,Year,Publisher
51,"Event-Triggered Reinforcement Learning Based Joint Resource Allocation for URLLC V2X","Khan, N. & Coleri, S.",2024,"IEEE Transactions on Vehicular Technology"
52,"A Flexible Graph Neural Network for Resource Distribution in V2X Wireless Networks","Kumar, S. et al.",2024,"IEEE Vehicular Technology Conference (VTC-Spring)"
53,"A Survey on Artificial-Intelligence-Based Internet of Vehicles Utilizing Unmanned Aerial Vehicles","Khan, I. U. et al.",2024,"Drones"
54,"An Investigation on Open-RAN Specifications: Use Cases, Security Threats, and AI-based Solutions","Al-Dulaimi, A. et al.",2024,"CMES-Computer Modeling in Engineering & Sciences"
55,"Self-Adapted Resource Allocation in V2X Communication using Deep Reinforcement Learning","Jamal, M. et al.",2023,"Journal of Sensor and Actuator Networks"
56,"Meta-Reinforcement Learning Based Resource Allocation for Dynamic V2X Communications","Yuan, Y. et al.",2021,"IEEE Transactions on Vehicular Technology"
57,"Graph-based Resource Allocation for V2X communications in typical road scenarios","Jiang, W. et al.",2022,"IEEE International Conference on Communications (ICC)"
58,"A Comprehensive Survey on Joint Resource Allocation Strategies in Federated Edge Learning","Zhang, L. et al.",2024,"IEEE Communications Surveys & Tutorials"
59,"VaN3Twin: the Multi-Technology V2X Digital Twin with Ray-Tracing in the Loop","Todisco, V. et al.",2025,"arXiv"
60,"Ns3 meets Sionna: Using Realistic Channels in Network Simulation","Zubow, A. et al.",2024,"Proceedings of the 22nd ACM International Conference on Mobile Systems, Applications, and Services"
61,"SioLENA: A Trace-based Channel Model for ns-3 based on Sionna Ray Tracer","Pilz, Y. et al.",2025,"arXiv"
62,"High Frequency RF Propagation Models in Dense 6G Networks: Challenges and Optimization","Kumar, A. et al.",2024,"Journal of Engineering Research"
63,"World Model-Based Learning for Long-Term Age of Information Minimization in Vehicular Networks","Wang, Z. et al.",2025,"arXiv"
64,"ViT LoS V2X: Vision Transformers for Environment-Aware LoS Blockage Prediction for 6G Vehicular Networks","Gharsallah, G. & Kaddoum, G.",2024,"IEEE Access"
65,"Sionna: An Open-Source Library for Next-Generation Physical Layer Research","Hoydis, J. et al.",2022,"IEEE International Conference on Communications (ICC)"
66,"Accurate Simulation of Wireless Vehicular Networks Based on Ray Tracing and Physical Layer Simulation","Gaugel, T. et al.",2012,"High Performance Computing in Science and Engineering '11"
67,"OpenCAMS: An Open-Source Co-Simulation Platform for Connected and Automated Mobility Systems","Rahman, M. M. et al.",2025,"arXiv"
68,"A Comprehensive V2X Simulation System for Connected Driving in Mixed Traffic Environments","Shi, Y. et al.",2023,"MODSIM World Conference"
69,"An Integrated Simulation Environment for Testing V2X Protocols and Applications","Choudhury, A. et al.",2016,"Procedia Computer Science"
70,"Real-World V2X Data-Driven Traffic Scenario Generation for Autonomous Driving Simulation","Liu, H. et al.",2024,"arXiv"
71,"iTETRIS: A Modular Simulation Platform for the Large Scale Evaluation of V2X Applications","Schiegg, F. A. et al.",2012,"Simulation Tools and Techniques (SIMUTools)"
72,"Bidirectionally Coupled Network and Road Traffic Simulation for Improved IVC Analysis","Sommer, C. et al.",2011,"IEEE Transactions on Mobile Computing"
73,"Microscopic Traffic Simulation using SUMO","Lopez, P. A. et al.",2018,"IEEE International Conference on Intelligent Transportation Systems (ITSC)"
74,"The ns-3 Network Simulator","Riley, G. F. & Henderson, T. R.",2010,"Modeling and Tools for Network Simulation"
75,"A Survey on the Role of Artificial Intelligence and Machine Learning in 6G-V2X Applications","Al-Dulaimi, A. et al.",2025,"arXiv"
76,"Resource Allocation in C-V2X: A review","Tahi, T. Z.",2024,"arXiv"
77,"Towards 6G V2X Sidelink: Survey of Resource Allocation - Mathematical Formulations, Challenges, and Proposed Solutions","Annu & Rajalakshmi, P.",2024,"IEEE Open Journal of Vehicular Technology"
78,"Vehicle to Everything (V2X) – A Survey on Standards and Operational Strategies","Mohammadi, J. et al.",2022,"IEEE Power & Energy Society General Meeting"
79,"A Comprehensive Survey on Challenges and Issues in V2X and V2V Communication in 6G Future Generation Communication Models","Kumar, A. et al.",2023,"International Journal of Interactive Mobile Technologies"
80,"A Survey on Radio Resource Allocation for V2X Communication","Masmoudi, A. & Frikha, M.",2019,"Wireless Communications and Mobile Computing"
81,"Resource Allocation Modes in C-V2X: From LTE-V2X to 5G-V2X","Sehla, K. et al.",2022,"IEEE Internet of Things Journal"
82,"A Comprehensive Survey on Machine Learning in Vehicular Network: Technology, Applications and Challenges","Tang, F. et al.",2021,"IEEE Communications Surveys & Tutorials"
83,"6G for Vehicle-to-Everything (V2X) Communications: Enabling Technologies, Challenges, and Opportunities","Noor-A-Rahim, M. et al.",2022,"IEEE Communications Magazine"
84,"On the Design of Sidelink for Cellular V2X: A Literature Review and Outlook for Future","Bazzi, A. et al.",2021,"IEEE Access"
85,"3GPP NR V2X Mode 2: Overview, Models and System-Level Evaluation","Ali, Z. et al.",2021,"IEEE Access"
86,"Performance Analysis of Sidelink 5G-V2X Mode 2 through an Open-Source Simulator","Todisco, V. et al.",2021,"IEEE Access"
87,"Latency and Reliability of 5G NR V2X Sidelink Communications","Molina-Galan, A. et al.",2021,"IEEE Access"
88,"Performance Optimization of Low-Latency Services: A Survey of CCA and AQM","Zhang, Y. et al.",2024,"Journal of Tsinghua University (Science and Technology)"
89,"Joint Optimal Allocation of Wireless Resource and MEC Computation Capability in Vehicular Network","Zhu, M. et al.",2020,"IEEE Transactions on Vehicular Technology"
90,"Fair-Access Scheme for V2I Communications in Platoon-Based Vehicular Networks","Chen, Y-C. et al.",2022,"IEEE Vehicular Technology Conference (VTC-Spring)"
91,"Towards 6G: Intelligent Reflecting Surface in Vehicular Communications","Khan, M. A. et al.",2022,"IEEE Transactions on Vehicular Technology"
92,"A Fuzzy-Logic-Assisted Q Learning Model for Resource Allocation in 6G V2X","Zhang, M. et al.",2023,"IEEE Internet of Things Journal"
93,"Edge-Assisted V2X Motion Planning and Power Control Under Channel Uncertainty","Wang, Z. et al.",2022,"IEEE International Conference on Intelligent Transportation Systems (ITSC)"
94,"Mixed-traffic Intersection Management using V2X-enabled Speed Coordination","Yosodipuro, N. D. et al.",2023,"IEEE International Conference on Intelligent Transportation Systems (ITSC)"
95,"Delivery Rate Estimation Based Probabilistic Resource Re-scheduling for C-V2X Mode 4","Kim, J. et al.",2024,"Journal of Communications and Networks"
96,"Resource Allocation Algorithm for V2X communications based on SCMA","Wu, W. et al.",2018,"IEEE Globecom Workshops"
97,"Cellular-V2X Communications for Platooning: Design and Evaluation","Bazzi, A. et al.",2018,"Electronics"
98,"Optimal Resource Allocation in 6G V2X Open RAN with Multi-Access Edge Computing","Tlelo-Cuautle, E. et al.",2025,"Electronics"
99,"Improving Resource Allocation for beyond 5G V2X Sidelink Connectivity","Campolo, C. et al.",2021,"Asilomar Conference on Signals, Systems and Computers"
100,"Supporting Sporadic DENM Traffic over 5G-V2X Sidelink in the Autonomous Mode","Romeo, F. et al.",2021,"IEEE Vehicular Technology Conference (VTC-Fall)"
