ID,Title,Author,Year,Publisher,Summary,Keywords
19,Optimization of Resource Allocation for V2X Security Communication based on Multi-Agent Reinforcement Learning,"Ji, B. et al.",2023,IEEE Transactions on Vehicular Technology,本稿では、マルチエージェント強化学習に基づくV2Xセキュリティ通信のためのリソース割り当ての最適化を提案します。このアプローチは、セキュリティ要件を満たしながら、効率的なリソース割り当てを可能にします。,"Resource Allocation, V2X Security Communication, Multi-Agent Reinforcement Learning, Optimization"
20,Analytical Models of the Performance of C-V2X Mode 4 Vehicular Communications,"Gonzalez-Martín, M. et al.",2019,IEEE Transactions on Vehicular Technology,本稿では、C-V2Xモード4車両通信の性能に関する分析モデルを提案します。これらのモデルは、様々なシナリオにおけるC-V2Xモード4の性能を評価するために使用できます。,"Analytical Models, Performance Analysis, C-V2X Mode 4, Vehicular Communications"
21,A New Clustering-based Radio Resource Allocation Scheme for C-V2X,"Khabaz, S. et al.",2021,Wireless Days Conference,本稿では、C-V2Xのための新しいクラスタリングベースの無線リソース割り当て方式を提案します。この方式は、車両をクラスタリングし、クラスタ内でリソースを効率的に割り当てることで、システムのスループットと信頼性を向上させます。,"Clustering-based, Radio Resource Allocation, C-V2X, Throughput, Reliability"
22,PrESS: Predictive Assessment of Resource Usage for C-V2V Mode 4,"Yang, J. M. et al.",2021,IEEE Vehicular Technology Conference (VTC-Fall),本稿では、C-V2Vモード4におけるリソース使用量の予測評価（PrESS）を提案します。PrESSは、将来のリソース需要を予測し、効率的なリソース割り当てを可能にします。,"PrESS, Predictive Assessment, Resource Usage, C-V2V Mode 4"
23,A Review of Resource Allocation in C-V2X,"Tahi, T. Z.",2024,arXiv,本論文は、C-V2Xにおけるリソース割り当てに関するレビューです。様々なリソース割り当て技術をレビューし、将来の研究方向性について議論します。,"Resource Allocation, C-V2X, Review"
24,Joint Optimization of Resource Allocation and Access Control in C-V2X Networks,"Li, X. et al.",2024,IEEE Transactions on Vehicular Technology,本稿では、C-V2Xネットワークにおけるリソース割り当てとアクセス制御の共同最適化を提案します。このアプローチは、システムのスループットと公平性を向上させます。,"Joint Optimization, Resource Allocation, Access Control, C-V2X Networks, Throughput, Fairness"
25,Optimizing V2X Communication: Spectrum Resource Allocation and Power Control Strategies,"Al-Dulaimi, A. et al.",2024,Applied Sciences,本稿では、V2X通信を最適化するためのスペクトルリソース割り当てと電力制御戦略を提案します。これらの戦略は、システムのスループットと信頼性を向上させます。,"V2X Communication, Spectrum Resource Allocation, Power Control Strategies, Optimization"
26,Sequential Task Assignment and Resource Allocation in V2X-Enabled Mobile Edge Computing,"Wang, Y. et al.",2023,IEEE Internet of Things Journal,本稿では、V2X対応モバイルエッジコンピューティングにおける逐次タスク割り当てとリソース割り当てを提案します。このアプローチは、モバイルエッジコンピューティング環境におけるタスク処理の効率を向上させます。,"Sequential Task Assignment, Resource Allocation, V2X-Enabled Mobile Edge Computing"
27,Latency Minimization for MEC-V2X Networks with Joint Offloading and Resource Allocation,"Zhang, H. et al.",2023,IEEE Transactions on Vehicular Technology,本稿では、MEC-V2Xネットワークにおけるオフロードとリソース割り当ての共同最適化による遅延最小化を提案します。このアプローチは、MEC-V2Xネットワークにおける遅延を最小化し、システム性能を向上させます。,"Latency Minimization, MEC-V2X Networks, Joint Offloading, Resource Allocation"
28,Resource Allocation in V2X Communications Based on Multi-Agent Reinforcement Learning with Attention Mechanism,"Sun, Y. et al.",2022,Mathematics,本稿では、アテンションメカニズムを備えたマルチエージェント強化学習に基づくV2X通信におけるリソース割り当てを提案します。このアプローチは、動的なV2X環境において効率的なリソース割り当てを可能にします。,"Resource Allocation, V2X Communications, Multi-Agent Reinforcement Learning, Attention Mechanism"
29,Electric Vehicle Charging Station Power Supply Optimization with V2X Capabilities Based on Mixed-Integer Linear Programming,"Sbordone, D. et al.",2022,Energies,本稿では、混合整数線形計画法に基づくV2X機能を備えた電気自動車充電ステーションの電力供給最適化を提案します。このアプローチは、電気自動車充電ステーションの効率と持続可能性を向上させます。,"Electric Vehicle Charging Station, Power Supply Optimization, V2X Capabilities, Mixed-Integer Linear Programming"
30,Resource Allocation for D2D-based V2X Communication with Imperfect CSI,"Liang, L. et al.",2020,IEEE Internet of Things Journal,本稿では、不完全なCSI（チャネル状態情報）を持つD2DベースのV2X通信のためのリソース割り当てを提案します。このアプローチは、不完全なCSI条件下でも効率的なリソース割り当てを可能にします。,"Resource Allocation, D2D-based V2X Communication, Imperfect CSI"
31,Resilient Resource Allocation for C-V2X Networks under Imperfect CSI,"Zhang, L. et al.",2021,IEEE Transactions on Wireless Communications,本稿では、不完全なCSI条件下におけるC-V2Xネットワークのための回復力のあるリソース割り当てを提案します。このアプローチは、不完全なCSI条件下でもシステムの堅牢性を維持しながら、効率的なリソース割り当てを可能にします。,"Resilient Resource Allocation, C-V2X Networks, Imperfect CSI"
32,Fuzzy Matching Learning for Dynamic Resource Allocation in Cellular V2X Network,"Zhang, L. et al.",2021,IEEE Transactions on Vehicular Technology,本稿では、セルラーV2Xネットワークにおける動的リソース割り当てのためのファジーマッチング学習を提案します。このアプローチは、動的な環境において効率的なリソース割り当てを可能にします。,"Fuzzy Matching Learning, Dynamic Resource Allocation, Cellular V2X Network"
33,Socially Aware Clustering and Matching for V2I/V2V Resource Allocation,"Liu, Y. et al.",2022,IEEE Transactions on Wireless Communications,本稿では、V2I/V2Vリソース割り当てのためのソーシャルアウェアクラスタリングとマッチングを提案します。このアプローチは、車両の社会的関係を考慮して、効率的なリソース割り当てを可能にします。,"Socially Aware Clustering, Matching, V2I/V2V Resource Allocation"
34,Resilient and Secure Resource Allocation for D2D-based V2X using Stable Matching,"A. T. Asyabi, E. et al.",2020,IEEE International Conference on Communications (ICC),本稿では、安定マッチングを用いたD2DベースのV2Xのための回復力のある安全なリソース割り当てを提案します。このアプローチは、セキュリティ要件を満たしながら、効率的なリソース割り当てを可能にします。,"Resilient and Secure Resource Allocation, D2D-based V2X, Stable Matching"
35,Enhancing Converged Optical and Millimeter Wave Radio Networks with Resource Management Games,"Sahinel, D.",2023,"PhD Thesis, Eindhoven University of Technology",本論文は、リソース管理ゲームを用いた収束型光およびミリ波無線ネットワークの強化に関する博士論文です。,"Converged Optical and Millimeter Wave Radio Networks, Resource Management Games"
36,Efficient Radio Resource Management Scheme in Cooperative Heterogeneous Networks using Coalition Game,"Khan, F. et al.",2020,IEEE Access,本稿では、連合ゲームを用いた協調型異種ネットワークにおける効率的な無線リソース管理方式を提案します。この方式は、システムのスループットと公平性を向上させます。,"Efficient Radio Resource Management, Cooperative Heterogeneous Networks, Coalition Game"
37,Stackelberg Game-Based Power Allocation for V2X Communications,"Zhang, Y. et al.",2020,Sensors,本稿では、V2X通信のためのスタッケルベルグゲームベースの電力割り当てを提案します。このアプローチは、V2X通信における電力効率を向上させます。,"Stackelberg Game-Based, Power Allocation, V2X Communications"
38,Game Theory-Based Load-Balancing Algorithms for Heterogeneous Networks,"Al-Dulaimi, A. et al.",2023,Applied Sciences,本稿では、異種ネットワークにおけるゲーム理論ベースの負荷分散アルゴリズムを提案します。これらのアルゴリズムは、ネットワークの負荷分散を最適化し、システム性能を向上させます。,"Game Theory-Based, Load-Balancing Algorithms, Heterogeneous Networks"
39,A Survey of Recent Advances in Optimization Methods for Wireless Communications,"Luo, Z-Q. et al.",2024,IEEE Journal on Selected Areas in Communications,本論文は、無線通信における最適化手法の最近の進歩に関する調査です。様々な最適化技術をレビューし、将来の研究方向性について議論します。,"Optimization Methods, Wireless Communications, Survey"
40,Sum-Throughput Maximization in NOMA-Based WPCN: A Cluster-Specific Beamforming Approach,"Song, D. et al.",2021,IEEE Internet of Things Journal,本稿では、NOMAベースのWPCNにおける総スループット最大化のためのクラスタ固有ビームフォーミングアプローチを提案します。このアプローチは、システムのスループットを向上させます。,"Sum-Throughput Maximization, NOMA-Based WPCN, Cluster-Specific Beamforming"
41,Graph Neural Networks and Deep Reinforcement Learning Based Resource Allocation for V2X Communications,"Ji, M. et al.",2024,IEEE Internet of Things Journal,本稿では、グラフニューラルネットワークと深層強化学習に基づくV2X通信のためのリソース割り当てを提案します。このアプローチは、複雑な無線環境において効率的なリソース割り当てを可能にします。,"Graph Neural Networks, Deep Reinforcement Learning, Resource Allocation, V2X Communications"
42,GNN-Augmented Multi-Agent Reinforcement Learning for Spectrum Allocation in V2X Network,"Wang, J. et al.",2021,IEEE Globecom Workshops,本稿では、V2Xネットワークにおけるスペクトル割り当てのためのGNN拡張マルチエージェント強化学習を提案します。このアプローチは、動的なV2X環境において効率的なスペクトル割り当てを可能にします。,"GNN-Augmented, Multi-Agent Reinforcement Learning, Spectrum Allocation, V2X Network"
43,Dynamic Graph Attention-driven Reinforcement Learning for Resource Allocation in Vehicular Networks,"Chen, Y. et al.",2025,Preprints.org,本稿では、車両ネットワークにおけるリソース割り当てのための動的グラフアテンション駆動強化学習を提案します。このアプローチは、動的な車両環境において効率的なリソース割り当てを可能にします。,"Dynamic Graph Attention-driven, Reinforcement Learning, Resource Allocation, Vehicular Networks"
44,A GNN and Double Deep Q-Network Framework for Dynamic Resource Allocation in V2X,"Li, H. et al.",2025,Computer Materials & Continua,本稿では、V2Xにおける動的リソース割り当てのためのGNNとDouble Deep Q-Networkフレームワークを提案します。このアプローチは、動的なV2X環境において効率的なリソース割り当てを可能にします。,"GNN, Double Deep Q-Network, Dynamic Resource Allocation, V2X"
45,Deep Reinforcement Learning for Resource Allocation in V2V Communications,"Ye, H. & Li, G. Y.",2018,IEEE Wireless Communications Letters,本稿では、V2V通信におけるリソース割り当てのための深層強化学習を提案します。このアプローチは、V2V通信における効率的なリソース割り当てを可能にします。,"Deep Reinforcement Learning, Resource Allocation, V2V Communications"
46,Energy-Efficient Resource Allocation for V2V Communications using Deep Reinforcement Learning,"Jang, B. et al.",2023,Sensors,本稿では、深層強化学習を用いたV2V通信のためのエネルギー効率の良いリソース割り当てを提案します。このアプローチは、V2V通信におけるエネルギー効率を向上させます。,"Energy-Efficient Resource Allocation, V2V Communications, Deep Reinforcement Learning"
47,"Integrated Networking, Caching, and Computing for Connected Vehicles: A Deep Reinforcement Learning Approach","He, Y. et al.",2017,IEEE Transactions on Vehicular Technology,本稿では、接続された車両のための統合されたネットワーキング、キャッシング、コンピューティングを提案します。深層強化学習アプローチを用いて、これらの機能を最適化します。,"Integrated Networking, Caching, Computing, Connected Vehicles, Deep Reinforcement Learning"
48,Resource Allocation for NOMA-based V2X Communications using Reinforcement Learning,"Chen, Y-C. et al.",2021,IEEE INFOCOM Workshops,本稿では、強化学習を用いたNOMAベースのV2X通信のためのリソース割り当てを提案します。このアプローチは、NOMAベースのV2X通信における効率的なリソース割り当てを可能にします。,"Resource Allocation, NOMA-based V2X Communications, Reinforcement Learning"
49,Joint Optimization for AoI and Energy Consumption in C-V2X Enabled IoV based on DRL,"Wu, Q. et al.",2024,arXiv,本稿では、DRL（深層強化学習）に基づくC-V2X対応IoVにおけるAoI（Age of Information）とエネルギー消費の共同最適化を提案します。このアプローチは、C-V2X対応IoVにおけるAoIとエネルギー消費を最適化します。,"Joint Optimization, AoI (Age of Information), Energy Consumption, C-V2X Enabled IoV, DRL (Deep Reinforcement Learning)"
50,A Q-Learning Approach for Sidelink Joint Communication and Sensing in NR-V2X,"Zhang, C. et al.",2025,Sensors,本稿では、NR-V2Xにおけるサイドリンク共同通信およびセンシングのためのQ学習アプローチを提案します。このアプローチは、NR-V2Xにおける通信とセンシングの性能を向上させます。,"Q-Learning Approach, Sidelink Joint Communication and Sensing, NR-V2X"
51,Event-Triggered Reinforcement Learning Based Joint Resource Allocation for URLLC V2X,"Khan, N. & Coleri, S.",2024,IEEE Transactions on Vehicular Technology,本稿では、URLLC（Ultra-Reliable Low-Latency Communications）V2Xのためのイベントトリガー型強化学習に基づく共同リソース割り当てを提案します。このアプローチは、URLLC V2Xにおける信頼性と低遅延を保証しながら、効率的なリソース割り当てを可能にします。,"Event-Triggered Reinforcement Learning, Joint Resource Allocation, URLLC V2X"
52,A Flexible Graph Neural Network for Resource Distribution in V2X Wireless Networks,"Kumar, S. et al.",2024,IEEE Vehicular Technology Conference (VTC-Spring),本稿では、V2X無線ネットワークにおけるリソース分散のための柔軟なグラフニューラルネットワークを提案します。このアプローチは、V2X無線ネットワークにおける効率的なリソース分散を可能にします。,"Flexible Graph Neural Network, Resource Distribution, V2X Wireless Networks"
53,A Survey on Artificial-Intelligence-Based Internet of Vehicles Utilizing Unmanned Aerial Vehicles,"Khan, I. U. et al.",2024,Drones,本論文は、無人航空機（UAV）を利用した人工知能ベースのInternet of Vehiclesに関する調査です。様々なAIベースの技術をレビューし、その適用可能性と課題について議論します。,"Artificial-Intelligence-Based, Internet of Vehicles, Unmanned Aerial Vehicles (UAVs), Survey"
54,"An Investigation on Open-RAN Specifications: Use Cases, Security Threats, and AI-based Solutions","Al-Dulaimi, A. et al.",2024,CMES-Computer Modeling in Engineering & Sciences,本論文は、Open-RAN仕様に関する調査です。ユースケース、セキュリティ脅威、AIベースのソリューションについて議論します。,"Open-RAN Specifications, Use Cases, Security Threats, AI-based Solutions"
55,Self-Adapted Resource Allocation in V2X Communication using Deep Reinforcement Learning,"Jamal, M. et al.",2023,Journal of Sensor and Actuator Networks,本稿では、深層強化学習を用いたV2X通信における自己適応型リソース割り当てを提案します。このアプローチは、動的なV2X環境において効率的なリソース割り当てを可能にします。,"Self-Adapted Resource Allocation, V2X Communication, Deep Reinforcement Learning"
56,Meta-Reinforcement Learning Based Resource Allocation for Dynamic V2X Communications,"Yuan, Y. et al.",2021,IEEE Transactions on Vehicular Technology,本稿では、動的なV2X通信のためのメタ強化学習に基づくリソース割り当てを提案します。このアプローチは、動的なV2X環境において効率的なリソース割り当てを可能にします。,"Meta-Reinforcement Learning, Resource Allocation, Dynamic V2X Communications"
57,Graph-based Resource Allocation for V2X communications in typical road scenarios,"Jiang, W. et al.",2022,IEEE International Conference on Communications (ICC),本稿では、典型的な道路シナリオにおけるV2X通信のためのグラフベースのリソース割り当てを提案します。このアプローチは、V2X通信における効率的なリソース割り当てを可能にします。,"Graph-based Resource Allocation, V2X communications, Road Scenarios"
58,A Comprehensive Survey on Joint Resource Allocation Strategies in Federated Edge Learning,"Zhang, L. et al.",2024,IEEE Communications Surveys & Tutorials,本論文は、連合エッジ学習における共同リソース割り当て戦略に関する包括的な調査です。様々な戦略をレビューし、その適用可能性と課題について議論します。,"Joint Resource Allocation Strategies, Federated Edge Learning, Survey"
59,VaN3Twin: the Multi-Technology V2X Digital Twin with Ray-Tracing in the Loop,"Todisco, V. et al.",2025,arXiv,本稿では、レイトレーシングをループに組み込んだマルチテクノロジーV2XデジタルツインであるVaN3Twinを提案します。,"VaN3Twin, Multi-Technology V2X Digital Twin, Ray-Tracing"
60,Ns3 meets Sionna: Using Realistic Channels in Network Simulation,"Zubow, A. et al.",2024,"Proceedings of the 22nd ACM International Conference on Mobile Systems, Applications, and Services",本稿では、Sionna Ray Tracerに基づくns-3用のトレースベースチャネルモデルであるSioLENAを提案します。,"Ns3, Sionna, Realistic Channels, Network Simulation"
61,SioLENA: A Trace-based Channel Model for ns-3 based on Sionna Ray Tracer,"Pilz, Y. et al.",2025,arXiv,本稿では、Sionna Ray Tracerに基づくns-3用のトレースベースチャネルモデルであるSioLENAを提案します。,"SioLENA, Trace-based Channel Model, ns-3, Sionna Ray Tracer"
62,High Frequency RF Propagation Models in Dense 6G Networks: Challenges and Optimization,"Kumar, A. et al.",2024,Journal of Engineering Research,本論文は、高周波RF伝搬モデルにおける課題と最適化に関するものです。,"High Frequency RF Propagation Models, 6G Networks, Challenges, Optimization"
63,World Model-Based Learning for Long-Term Age of Information Minimization in Vehicular Networks,"Wang, Z. et al.",2025,arXiv,本稿では、車両ネットワークにおける長期的な情報鮮度（AoI）最小化のためのワールドモデルベース学習を提案します。,"World Model-Based Learning, Long-Term Age of Information (AoI) Minimization, Vehicular Networks"
64,ViT LoS V2X: Vision Transformers for Environment-Aware LoS Blockage Prediction for 6G Vehicular Networks,"Gharsallah, G. & Kaddoum, G.",2024,IEEE Access,本稿では、6G車両ネットワークにおける環境認識型LoS（Line-of-Sight）遮蔽予測のためのVision TransformersであるViT LoS V2Xを提案します。,"ViT LoS V2X, Vision Transformers, Environment-Aware LoS Blockage Prediction, 6G Vehicular Networks"
65,Sionna: An Open-Source Library for Next-Generation Physical Layer Research,"Hoydis, J. et al.",2022,IEEE International Conference on Communications (ICC),本論文は、次世代物理層研究のためのオープンソースライブラリであるSionnaに関するものです。,"Sionna, Open-Source Library, Next-Generation Physical Layer Research"
66,Accurate Simulation of Wireless Vehicular Networks Based on Ray Tracing and Physical Layer Simulation,"Gaugel, T. et al.",2012,High Performance Computing in Science and Engineering '11,本稿では、レイトレーシングと物理層シミュレーションに基づく無線車両ネットワークの正確なシミュレーションについて検討します。,"Accurate Simulation, Wireless Vehicular Networks, Ray Tracing, Physical Layer Simulation"
67,OpenCAMS: An Open-Source Co-Simulation Platform for Connected and Automated Mobility Systems,"Rahman, M. M. et al.",2025,arXiv,本稿では、接続された自動運転モビリティシステムのためのオープンソース共同シミュレーションプラットフォームであるOpenCAMSを提案します。,"OpenCAMS, Open-Source Co-Simulation Platform, Connected and Automated Mobility Systems"
